 关卡ID,场景ID,关卡图标,BOSS出现条件,关卡敌人/常规刷新,固有刷新点1,固有刷新点2,固有刷新点3,固有刷新点4,固有刷新点5,固有刷新点6,固有刷新点7,固有刷新点8,固有刷新点9,固有刷新点10,下一个关卡的ID,关卡类型,体力消耗,剧情的文档ID
string,string,string,int,string,string,string,string,string,string,string,string,string,string,string,string,int,int,int
id,sceneid,icon,boss_req,enemywave,enemypoint_1,enemypoint_2,enemypoint_3,enemypoint_4,enemypoint_5,enemypoint_6,enemypoint_7,enemypoint_8,enemypoint_9,enemypoint_10,nextlevelid,leveltype,energyconsume,storyid
level001,scene001,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level002,2,2,0
level002,scene002,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level003,2,2,1
level003,scene003,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level004,2,2,2
level004,scene004,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level005,2,2,3
level005,scene005,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level006,2,2,4
level006,scene006,level_icon001,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level007,2,2,5
level007,scene007,level_icon001,0,0,wave10001_3_30,wave10002_1_0,wave10001_3_0,0,0,0,0,0,0,0,level008,2,2,6
level008,scene008,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level009,2,2,0
level009,scene009,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level010,2,2,0
level010,scene010,level_icon002,95,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level011,3,2,0
level011,scene011,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level012,1,2,0
level012,scene012,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level013,1,2,0
level013,scene013,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level014,1,2,0
level014,scene014,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level015,1,2,0
level015,scene015,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level016,1,2,0
level016,scene016,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level017,1,2,0
level017,scene017,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level018,1,2,0
level018,scene018,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level019,1,2,0
level019,scene019,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level020,1,2,0
level020,scene020,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level021,3,2,0
level021,scene021,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level022,1,2,0
level022,scene022,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level023,1,2,0
level023,scene023,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level024,1,2,0
level024,scene024,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level025,1,2,0
level025,scene025,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level026,1,2,0
level026,scene026,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level027,1,2,0
level027,scene027,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level028,1,2,0
level028,scene028,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level029,1,2,0
level029,scene029,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level030,1,2,0
level030,scene030,level_icon002,0,wave10001_3_20|wave10002_1_0|wave10003_1_0,0,0,0,0,0,0,0,0,0,0,level031,3,2,0
